ID,Project Proponent,Project Name,Project ID,Method,Method URL,Method Type,Project Description,Date Project Registered,Project location,Project location (postcode),"Project Area(s), where the project is an area based offsets project",Project Mapping File URL,Carbon Estimation Area mapping file URL,Carbon Estimation Area Supplementary information,"If the area-based project is covered by a regional natural resource management plan, is it consistent with that plan?",Joint Implementation project,Is the project area or project areas subject to a Carbon Maintenance Obligation (CMO)?,Conditional upon all regulatory approvals being obtained,Conditional upon the written consent of relevant interest holders,"Nominated Permanence Period, if applicable","Finish date of permanence period, if applicable",Contracted on,Contract ID,ACCUs Total units issued,KACCUs Total units issued,KACCUs Units Issued in Financial Year 2012/13,KACCUs Units Issued in Financial Year 2013/14,KACCUs Units Issued in Financial Year 2014/15,KACCUs Units Issued in Financial Year 2015/16,KACCUs Units Issued in Financial Year 2016/17,KACCUs Units Issued in Financial Year 2017/18,KACCUs Units Issued in Financial Year 2018/19,KACCUs Units Issued in Financial Year 2019/20,KACCUs Units Issued in Financial Year 2020/21,KACCUs Units Issued in Financial Year 2021/22,KACCUs Units Issued in Financial Year 2022/23,KACCUs Units Issued in Financial Year 2023/24,Name of person/s to whom the KACCUs issued,Total Number of KACCUs units relinquished,NKACCUs Total units issued,NKACCUs Units Issued in Financial Year 2012/13,NKACCUs Units Issued in Financial Year 2013/14,NKACCUs Units Issued in Financial Year 2014/15,NKACCUs Units Issued in Financial Year 2015/16,NKACCUs Units Issued in Financial Year 2016/17,NKACCUs Units Issued in Financial Year 2017/18,NKACCUs Units Issued in Financial Year 2018/19,NKACCUs Units Issued in Financial Year 2019/20,NKACCUs Units Issued in Financial Year 2020/21,NKACCUs Units Issued in Financial Year 2021/22,NKACCUs Units Issued in Financial Year 2022/23,NKACCUs Units Issued in Financial Year 2023/24,Name of person/s to whom the NKACCUs issued,Total Number of NKACCUs units relinquished,Notes
1,Department of Planning and Environment,Gardens of Stone Environmental Plantings (Carbon) Project,ERF182170,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings - FullCAM) Methodology Determination 2014,https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,3/7/2023,New South Wales,2790,"NA/DPNA
 
The project is in the LITHGOW CITY COUNCIL local government area(s).",https://www.cleanenergyregulator.gov.au/DocumentAssets/Documents/ERF-Mapping-Files/ERF182170.kml,No,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a
2,CARBON GOLD ESTATES PTY LTD,Dan Wildy Reforestation Project,ERF184434,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings - FullCAM) Methodology Determination 2014,https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of mallee and mixed native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,4/7/2023,Western Australia,6470,"382/P135757/1317/60, 385/P135758/1317/60, 427/P301629/1236/985
 
The project is in the SHIRE OF KOORDA local government area(s).",https://www.cleanenergyregulator.gov.au/DocumentAssets/Documents/ERF-Mapping-Files/ERF184434.kml,No,n/a,Yes,No,There is no carbon maintenance obligation on this project area,Yes,Yes,100,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a
3,Kempton Station Farm Pty Ltd,Kempton Station Environmental Planting Project,ERF184552,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings - FullCAM) Methodology Determination 2014,https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,7/7/2023,New South Wales,2360,"1/DP1083365, 1/DP1140310, 1/DP127803, 1/DP753654, 1/DP753667, 10/DP753654, 100/DP753654, 101/DP753654, 17/DP753667, 18/DP753667, 19/DP753667, 2/DP1140310, 2/DP753654, 2/DP753667, 3/DP1140310, 3/DP753667, 32/DP753654, 33/DP753654, 35/DP753654, 36/DP753654, 45/DP753667, 47/DP753654, 48/DP753654, 5/DP753654, 5/DP753667, 6/DP753654, 700/DP753654, 8/DP753654, 9/DP753654
 
The project is in the INVERELL SHIRE COUNCIL local government area(s).",https://www.cleanenergyregulator.gov.au/DocumentAssets/Documents/ERF-Mapping-Files/ERF184552.kml,No,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,100,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a
4,LANDARI PTY LTD,Landari AKD-4 Vic 2022: Wheelers Hill,ERF184982,Carbon Credits (Carbon Farming Initiative - Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,This project sequesters carbon by establishing and maintaining a new plantation forest for commercial harvesting of wood products.,6/7/2023,Victoria,3304,"11495/774, 11495/775, 11495/776, 11829/647, 12197/555, 12197/556, 8091/777, 9560/182
 
The project is in the GLENELG SHIRE local government area(s).",https://www.cleanenergyregulator.gov.au/DocumentAssets/Documents/ERF-Mapping-Files/ERF184982.kml,No,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a
5,LMS Energy Pty Ltd,Bromelton Landfill Gas Upgrade Project,ERF185142,Carbon Credits (Carbon Farming Initiative - Landfill Gas) Methodology Determination 2015,https://www.legislation.gov.au/Details/F2021C00494,Waste,This project upgrades an existing landfill gas collection system to capture and combust gas generated at the landfill from legacy and non-legacy waste.,3/7/2023,Queensland,4285,n/a,,No,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a
6,Landfill Operations Pty Ltd,MRL Landfill Gas Abatement - Upgrade Project (Revoked),ERF132643,Carbon Credits (Carbon Farming Initiative - Landfill Gas) Methodology Determination 2015,https://www.legislation.gov.au/Details/F2015L00059,Waste,This project upgrades an existing landfill gas collection system to capture and combust gas generated at the landfill from legacy and non-legacy waste.,13/1/2020,Victoria,3023,n/a,,n/a,n/a,n/a,No,n/a,Yes,No,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,This project has been revoked under section 30 of the CFI Rule.
7,Landfill Gas & Power Pty Ltd,Red Hill Landfill Gas Power Station Upgrade Project,ERF165179,Carbon Credits (Carbon Farming Initiative - Electricity Generation from Landfill Gas) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01254,Waste,This project upgrades an existing landfill gas collection system to capture and combust gas generated at the landfill from legacy and non-legacy waste.,21/5/2021,Western Australia,6056,n/a,,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"18/01/2022 Variation of project method - from Carbon Credits (Carbon Farming Initiative - Landfill Gas) Methodology Determination 2015 (F2015L00059) to Carbon Credits (Carbon Farming Initiative - Electricity Generation from Landfill Gas) Methodology Determination 2021 (F2021L01254).

06/07/2023 Variation to participant name - from EDL Holdings (Australia) Pty Ltd to Landfill Gas & Power Pty Ltd.
"
8,"McInnerney, Andrew Neil and McInnerney, Leanne Mavis",Ularunda Regeneration Project,ERF101525,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest - 1.1) Methodology Determination 2013,https://www.legislation.gov.au/Details/F2018C00125,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,20/8/2015,Queensland,4468,"7/UL65



This project is in the Murweh local government area.",https://www.cleanenergyregulator.gov.au/DocumentAssets/Documents/ERF-Mapping-Files/ERF101525.kml,https://www.cleanenergyregulator.gov.au/DocumentAssets/Documents/ERF-CEA-Mapping-Files/ERF101525_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,5/6/2042,1/11/2015,CAC102221,173414,170941,0,0,0,0,55278,16151,25092,19558,19157,18330,17375,0,Andrew Neil McInnerney,0,2473,0,0,0,0,2473,0,0,0,0,0,0,0,Andrew Neil McInnerney,0,5/7/2023 Variation of project method - from Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1)  to Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3).
9,Boundary Bend Olives Pty Ltd,Boundary Bend Olives Reforestation Project (BBE),ERF171420,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings - FullCAM) Methodology Determination 2014,https://www.legislation.gov.au/Details/F2018C00118,Vegetation,This project establishes permanent plantings of a mix of native tree species on land that was predominantly used for agricultural purposes for at least five years prior to project commencement. The tree species are native to the local area.,2/5/2022,Victoria,3599,"47/SP2914/08876/208, 6/PS442841/10707/613, 49/SP2914/10193/951, 8/PS442841/10707/615, 2/PS442841/11281/228, 3/PS442841/11281/220, 2/PS 502671/11281/189, 2/PS507824/10723/001, 2/PS432237/10547/108, 2/548907/11031/470 



This project is in the SWAN HILL RURAL CITY local government area.",https://www.cleanenergyregulator.gov.au/DocumentAssets/Documents/ERF-Mapping-Files/ERF171420.kml,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,100,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a
10,Karen Bailey and Charles Bailey,Curragh Regeneration Project,ERF101626,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest - 1.1) Methodology Determination 2013,https://www.legislation.gov.au/Details/F2015C00576,Vegetation,This project establishes permanent native forests through assisted regeneration from in-situ seed sources (including rootstock and lignotubers) on land that was cleared of vegetation and where regrowth was suppressed for at least 10 years prior to the project having commenced.,27/7/2015,New South Wales,2840,"5781/DP768682, 5723/DP768623, 2/DP750330, 5776/DP768676, 4/DP750330, 5724/DP768624, 1/DP750330, 3/DP750330, 5784/DP768685



This project is in the Bourke local government area.",https://www.cleanenergyregulator.gov.au/DocumentAssets/Documents/ERF-Mapping-Files/ERF101626.kml,https://www.cleanenergyregulator.gov.au/DocumentAssets/Documents/ERF-CEA-Mapping-Files/ERF101626_CEA.zip,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,100,4/12/2116,1/11/2015,CAC102204,225554,225554,0,0,0,0,47018,11394,14692,54236,28784,33867,0,0,Anthony Brett Bailey; Karen Christina Bailey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,"24/12/2021 Variation to participant name - from Anthony Bailey, Karen Bailey and Charles Bailey to Karen Bailey and Charles Bailey."
